Concepto / Servicio;Costo / Comisión;Condiciones y Observaciones
Apertura de Cuenta;$0;Gratuito de por vida
Mantención Mensual;$0;Sin exigencia de saldo mínimo
Transferencia Mismo Banco;$0;Ilimitadas, disponibles 24/7
Transferencia Otros Bancos (TEF);$0;Sujeto a límites de seguridad diarios
Giro Cajero Automático (Red Propia);$0;Hasta 4 giros mensuales gratis, luego $300 c/u
Giro Cajero Automático (Otras Redes);$450;Costo fijo por evento de retiro
Reposición Tarjeta Física (Débito);$3.500;Por extravío, daño o robo
Envío de Tarjeta a Domicilio;$0;Primer envío incluido con la apertura
Transacciones Internacionales (Online);0%;Se aplica tipo de cambio oficial del día
Transacciones Internacionales (Presencial);0%;Se aplica tipo de cambio oficial del día
Pago de Servicios (Luz, Agua, etc.);$0;Gratuito a través de la aplicación móvil
Consulta de Saldo en Cajero;$100;Gratuito las primeras 3 consultas del mes
Emisión de Estado de Cuenta;$0;Descarga digital en formato PDF desde la app
Notificaciones SMS de Seguridad;$0;Incluido en el plan de seguridad base
Bloqueo y Desbloqueo de Cuenta;$0;Gestión inmediata por canales digitales
Uso de API para Desarrolladores;$0;Hasta 10.000 llamadas mensuales gratis
Recarga de Tarjeta de Transporte;$0;Disponible para redes compatibles
Pago mediante Código QR;$0;Disponible en comercios asociados
Inversión en Depósitos a Plazo;0% Comisión;Tasa de interés según mercado vigente
Soporte Premium 24/7;$0;Asistencia prioritaria integrada en la app
